Designator,Mid X,Mid Y,Rotation,Layer
R202,116.9025,-106.5,0.0,top
R3,209.9673,-39.4236,0.0,top
R4,198.9673,-39.4236,0.0,top
R5,204.4673,-39.4236,0.0,top
R501,199.2673,-93.9236,270.0,top
R502,201.2673,-93.9236,90.0,top
R503,205.2673,-91.4236,90.0,top
R504,193.7673,-87.9236,90.0,top
R6,193.4673,-39.4236,0.0,top
RV1,180.8196,-144.9409,180.0,bottom
S1,105.2673,-121.5236,0.0,bottom
S2,125.2673,-121.5236,0.0,bottom
SPEAKER_FRONT1,200.7673,-29.4236,180.0,top
SPEAKER_REAR1,200.7673,-34.9236,180.0,top
SW_DUMMY,85.2673,-121.5236,0.0,bottom
U1,165.2673,-83.0611,270.0,top
U10,152.2673,-74.4236,90.0,top
U101,83.2673,-94.9236,90.0,top
U103,159.1568,-92.4145,90.0,top
U104,166.9443,-101.0145,180.0,top
U11,149.2673,-116.4236,90.0,top
U2,191.5,-101.5,180.0,top
U201,105.0,-116.5,180.0,top
U202,108.0,-107.0,90.0,top
U3,216.7259,-98.4536,180.0,top
U301,164.7673,-78.4236,90.0,top
U4,161.8087,-51.3936,0.0,top
U5,77.3923,-39.0413,180.0,top
U501,200.2673,-78.4236,90.0,top
U6,121.9173,-70.8236,0.0,top
U7,125.3923,-93.4236,180.0,top
U8,135.7673,-52.7986,270.0,top
U9,124.2673,-51.9236,90.0,top
Y101,159.1068,-100.9145,270.0,top
